               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.02286,           0.0086788,           0.0075138,             0.87692,             0.75728,             0.75974,             0.65241,            0.010732,            0.003561,            0.065667,            0.003466,            0.003466,            0.003466
                  68,             0.02287,           0.0085859,           0.0067214,             0.87197,             0.76282,             0.75713,             0.63117,            0.011325,           0.0036943,            0.067082,            0.003367,            0.003367,            0.003367
                  69,            0.022658,           0.0087739,           0.0068164,             0.88591,             0.77205,             0.76526,             0.63711,            0.011239,            0.003634,            0.061692,            0.003268,            0.003268,            0.003268
                  70,            0.022227,           0.0084985,           0.0062953,             0.89357,              0.7522,             0.74359,             0.61986,            0.011439,           0.0035967,            0.067128,            0.003169,            0.003169,            0.003169
                  71,            0.022533,            0.008605,           0.0066766,             0.88616,             0.76293,             0.76581,             0.64615,            0.010943,           0.0033858,            0.066612,             0.00307,             0.00307,             0.00307
                  72,            0.022178,           0.0085485,           0.0063209,             0.86261,             0.76356,              0.7576,             0.64056,            0.011364,           0.0034177,            0.065853,            0.002971,            0.002971,            0.002971
                  73,            0.022009,             0.00825,           0.0060473,             0.85823,             0.76671,             0.74864,             0.63017,            0.010938,           0.0034848,            0.067921,            0.002872,            0.002872,            0.002872
                  74,            0.022037,           0.0085257,           0.0061484,              0.8585,             0.76645,             0.74238,             0.63332,            0.010713,           0.0034747,             0.06792,            0.002773,            0.002773,            0.002773
                  75,            0.021463,           0.0083359,           0.0059038,             0.86652,             0.75208,             0.75058,             0.64345,            0.010497,           0.0034762,            0.068027,            0.002674,            0.002674,            0.002674
                  76,            0.021474,           0.0082981,           0.0058599,             0.86353,             0.75468,             0.75291,             0.63971,            0.010413,           0.0035187,            0.066897,            0.002575,            0.002575,            0.002575
                  77,            0.021155,           0.0080575,           0.0058469,             0.88355,             0.75873,             0.73767,             0.62696,            0.010577,           0.0033347,            0.071371,            0.002476,            0.002476,            0.002476
                  78,            0.021512,           0.0082719,           0.0054969,             0.87268,             0.76189,             0.74046,             0.63386,            0.010618,           0.0035271,            0.072899,            0.002377,            0.002377,            0.002377
                  79,            0.021082,            0.008097,             0.00589,             0.85898,              0.7642,             0.75764,             0.64708,            0.010503,           0.0035037,            0.069696,            0.002278,            0.002278,            0.002278
                  80,            0.021069,           0.0081731,           0.0049486,             0.85539,             0.76128,             0.74456,             0.63951,            0.010106,           0.0032496,            0.067631,            0.002179,            0.002179,            0.002179
                  81,            0.020686,           0.0080735,            0.004446,             0.86321,             0.75137,             0.74165,             0.63827,            0.010185,           0.0033165,             0.06772,             0.00208,             0.00208,             0.00208
                  82,             0.02028,           0.0078214,           0.0048023,              0.8544,             0.76671,             0.76013,             0.64685,            0.010282,           0.0033392,            0.068002,            0.001981,            0.001981,            0.001981
                  83,            0.020396,           0.0081031,           0.0045119,             0.87828,             0.76415,             0.75447,             0.64437,            0.010382,           0.0033755,            0.068036,            0.001882,            0.001882,            0.001882
                  84,            0.020169,           0.0079544,           0.0041894,             0.85152,             0.76164,             0.75158,             0.64066,            0.010094,           0.0033065,            0.070502,            0.001783,            0.001783,            0.001783
                  85,            0.019996,           0.0079781,           0.0043003,             0.86158,             0.76719,             0.74099,             0.63261,            0.010179,           0.0032931,            0.069761,            0.001684,            0.001684,            0.001684
                  86,            0.019785,           0.0080457,           0.0047165,             0.88809,               0.759,             0.75988,             0.64668,            0.010547,           0.0033725,            0.070096,            0.001585,            0.001585,            0.001585
                  87,            0.019642,           0.0079069,           0.0040514,             0.87618,             0.75551,             0.75694,             0.64713,            0.010142,           0.0033855,            0.068374,            0.001486,            0.001486,            0.001486
                  88,             0.01952,           0.0078391,            0.004287,             0.87531,             0.75825,             0.75848,             0.64813,            0.010249,           0.0032954,            0.069693,            0.001387,            0.001387,            0.001387
                  89,            0.019156,           0.0078215,           0.0045626,             0.86118,             0.76287,             0.73826,             0.63364,           0.0098187,           0.0032851,            0.071059,            0.001288,            0.001288,            0.001288
                  90,            0.019012,           0.0078405,           0.0051022,             0.87903,              0.7632,             0.75861,             0.65011,            0.010275,           0.0033235,            0.069409,            0.001189,            0.001189,            0.001189
                  91,            0.018949,           0.0077564,           0.0043405,             0.88634,             0.75572,             0.74949,             0.64165,            0.010139,           0.0033567,            0.073807,             0.00109,             0.00109,             0.00109
                  92,            0.018693,           0.0078349,           0.0044034,              0.8816,             0.74829,             0.74322,             0.64132,           0.0098426,           0.0033536,            0.073428,            0.000991,            0.000991,            0.000991
                  93,             0.01862,             0.00777,           0.0043853,             0.86848,             0.75768,             0.74937,             0.64331,            0.010004,           0.0034025,            0.072698,            0.000892,            0.000892,            0.000892
                  94,            0.018509,           0.0078642,            0.004136,              0.8804,             0.77131,             0.76028,              0.6571,           0.0098678,           0.0033504,            0.071404,            0.000793,            0.000793,            0.000793
                  95,            0.018551,           0.0077648,           0.0043727,             0.86433,             0.77211,             0.74066,             0.63517,           0.0098751,           0.0033457,            0.073267,            0.000694,            0.000694,            0.000694
                  96,            0.018279,           0.0077365,           0.0037688,             0.87316,             0.76812,             0.76261,             0.65429,           0.0099726,           0.0033336,            0.071128,            0.000595,            0.000595,            0.000595
                  97,            0.017897,           0.0076863,           0.0039481,             0.87132,             0.76681,             0.75581,             0.65737,           0.0097173,           0.0033299,            0.072975,            0.000496,            0.000496,            0.000496
                  98,            0.017705,            0.007615,           0.0040993,             0.83173,             0.76884,             0.75167,             0.64982,           0.0098903,           0.0033097,             0.07334,            0.000397,            0.000397,            0.000397
                  99,            0.017275,           0.0075961,           0.0038226,             0.85916,             0.77035,             0.75276,             0.65345,            0.009752,           0.0032916,            0.073179,            0.000298,            0.000298,            0.000298
